ModelName xsex exsec BR xsec*BR exsec*BR
L300TeV_Ctau200cm 0.00418529 2.60142e-05 1.0 0.004429 2.60142e-05
L300TeV_Ctau400cm 0.00418529 2.60142e-05 1.0 0.004449 2.60142e-05
L300TeV_Ctau600cm 0.0041645 2.50444e-05 1.0 0.004442 2.50444e-05
L300TeV_Ctau800cm 0.0041645 2.50444e-05 1.0 0.004448 2.50444e-05
L300TeV_Ctau1000cm 0.0041645 2.50444e-05 1.0 0.004454 2.50444e-05
L300TeV_Ctau1200cm 0.0041645 2.50444e-05 1.0 0.004466 2.50444e-05
L300TeV_Ctau1400cm 0.0041645 2.50444e-05 1.0 0.004466 2.50444e-05
L300TeV_Ctau4000cm 0.0041645 2.50444e-05 1.0 0.004466 2.50444e-05
L300TeV_Ctau10000cm 0.0041645 2.50444e-05 1.0 0.004475 2.50444e-05
L300TeV_Ctau20000cm 0.0041645 2.50444e-05 1.0 0.004475 2.50444e-05
L350TeV_Ctau0_001cm 0.00172168 1.00224e-05 1.0 0.001799 1.00224e-05
L350TeV_Ctau0_01cm 0.00172168 1.00224e-05 1.0 0.001799 1.00224e-05
L350TeV_Ctau0_1cm 0.00172168 1.00224e-05 1.0 0.001784 1.00224e-05
L350TeV_Ctau5cm 0.00172168 1.00224e-05 1.0 0.001784 1.00224e-05
L350TeV_Ctau10cm 0.00172168 1.00224e-05 1.0 0.001787 1.00224e-05
L350TeV_Ctau50cm 0.00172168 1.00224e-05 1.0 0.001787 1.00224e-05
L350TeV_Ctau100cm 0.00172168 1.00224e-05 1.0 0.001787 1.00224e-05
L350TeV_Ctau200cm 0.00174708 1.01254e-05 1.0 0.001790 1.01254e-05
L350TeV_Ctau400cm 0.00174708 1.01254e-05 1.0 0.001786 1.01254e-05
L350TeV_Ctau600cm 0.00174708 1.01254e-05 1.0 0.001791 1.01254e-05
L350TeV_Ctau800cm 0.00174708 1.01254e-05 1.0 0.001785 1.01254e-05
L350TeV_Ctau1000cm 0.00174708 1.01254e-05 1.0 0.001790 1.01254e-05
L350TeV_Ctau1200cm 0.00174708 1.01254e-05 1.0 0.001784 1.01254e-05
L350TeV_Ctau1400cm 0.00174708 1.01254e-05 1.0 0.001784 1.01254e-05
L350TeV_Ctau4000cm 0.00174708 1.01254e-05 1.0 0.001784 1.01254e-05
